s/n,title,location,physical?,details,google map pin url,,YeetBall,time,group,,SheeshJump,time,group
1,YeetBall,The Lair of the Green-eyed Man,yes,game instructions/intro statement (try to keep it concise!),https://goo.gl/maps/1Zrg21yeCGQJGhK18,,1,14:00,Gentle Sweaters,,1,10:00,Known Painters
2,SheeshJump,Camp Nou,no,game instructions/intro statement (try to keep it concise!),https://goo.gl/maps/1Zrg21yeCGQJGhK18,,2,14:30,Independent Decorators,,2,10:30,Modest Liberators
3,,,,,,,3,,,,3,,
4,,,,,,,4,,,,4,,
5,,,,,,,5,,,,5,,
6,,,,,,,6,,,,6,,
7,,,,,,,7,,,,7,,
8,,,,,,,8,,,,8,,
9,,,,,,,9,,,,9,,
10,,,,,,,10,,,,10,,
11,,,,,,,11,,,,11,,
12,,,,,,,12,,,,12,,
13,,,,,,,13,,,,13,,
14,,,,,,,14,,,,14,,
15,,,,,,,15,,,,15,,
